Number,Individual,Year,Lineage,Treatment,Laid,Hatch,Pupation,Eclose,Pupated (days),Eclosed (days),Weight (g),Sex,Mating Tent,Forewing,Hindwing,Eggs Laid,Notes
32,FE2S25,2024,FE2,Lupinus perennis,5/10/24,5/19/24,6/18/24,5/16/25,30,362,0.11058,F,C1,14.16,12.26,Unknown,observed laying
33,FE2S29,2024,FE2,Lupinus perennis,5/10/24,5/19/24,6/19/24,5/14/25,31,360,0.11305,F,C1,14.27,12.90,Unknown,
34,FE2S30,2024,FE2,Lupinus perennis,5/10/24,5/20/24,6/19/24,5/15/25,30,360,0.11648,M,C2,15.18,12.61,NA,
35,FE2S31,2024,FE2,Lupinus perennis,5/10/24,5/20/24,6/21/24,5/14/25,32,359,0.09756,M,C2,13.41,11.70,NA,
36,FE2S32,2024,FE2,Lupinus perennis,5/11/24,5/20/24,6/23/24,5/15/25,34,360,0.11442,F,C1,12.67,10.27,Unknown,
37,FE2S33,2024,FE2,Lupinus perennis,5/11/24,5/20/24,6/20/24,5/14/25,31,359,0.11544,M,C2,13.89,12.29,NA,
38,FE3S1,2024,FE3,Lupinus perennis,5/13/24,5/15/24,6/20/24,5/14/25,36,364,0.11299,F,C2,13.42,11.13,Unknown,observed mating
39,FE3S4,2024,FE3,Lupinus perennis,5/7/24,5/15/24,6/17/24,NA,33,NA,0.10092,NA,NA,NA,NA,Unknown,
40,FE3S5,2024,FE3,Lupinus perennis,5/7/24,5/15/24,6/16/24,5/15/25,32,365,0.12861,M,C1,14.15,11.75,NA,
41,FE6S2,2024,FE6,Lupinus perennis,5/7/24,5/15/24,6/19/24,7/19/24,35,65,0.12620,M,NA,NA,NA,NA,early eclose
42,FE6S3,2024,FE6,Lupinus perennis,5/7/24,5/15/24,6/17/24,5/15/25,33,365,0.09638,F,C2,13.43,11.88,Unknown,
43,FE14S3,2024,FE14,Lupinus perennis,5/11/24,5/18/24,6/24/24,NA,37,NA,0.11093,NA,NA,NA,NA,Unknown,
44,FE16S1,2024,FE16,Lupinus perennis,5/9/24,5/17/24,6/20/24,5/16/25,34,364,0.11892,M,NA,NA,NA,NA,escapee
45,FE16S2,2024,FE16,Lupinus perennis,5/13/24,5/18/24,6/19/24,5/15/25,32,362,0.13289,M,C1,13.66,12.17,NA,
46,FE21S1,2024,FE21,Lupinus perennis,5/14/24,5/23/24,6/23/24,5/15/25,31,357,0.11729,M,C2,12.97,10.20,NA,
47,FE21S2,2024,FE21,Lupinus perennis,5/14/24,5/23/24,6/26/24,5/15/25,34,357,0.13425,F,C1,14.80,12.50,Unknown,
48,FE24S1,2024,FE24,Lupinus perennis,5/13/24,5/22/24,6/22/24,7/22/24,31,61,0.13504,M,NA,NA,NA,NA,early eclose
49,FE31S2,2024,FE31,Lupinus perennis,5/19/24,5/28/24,6/26/24,5/13/25,29,350,0.12635,M,C2,13.50,11.02,NA,
50,FE31S3,2024,FE31,Lupinus perennis,5/19/24,5/28/24,6/26/24,5/15/25,29,352,0.12922,NA,NA,NA,NA,NA,crinkled wings
51,FE31S4,2024,FE31,Lupinus perennis,5/21/24,5/28/24,6/26/24,5/14/25,29,351,0.12214,M,C2,14.12,12.49,NA,
52,FE31S5,2024,FE31,Lupinus perennis,5/19/24,5/29/24,6/27/24,5/15/25,29,351,0.11384,F,C1,13.53,11.95,Unknown,
53,FE1L1,2024,FE1,Lupinus polyphyllus,5/6/24,5/14/24,6/24/24,7/23/24,41,70,0.10178,M,NA,13.22,10.93,NA,early eclose
54,FE1L3,2024,FE1,Lupinus polyphyllus,5/6/24,5/14/24,6/20/24,5/15/25,37,366,0.11496,F,E2,12.92,10.71,Unknown,left antena short
55,FE1L4,2024,FE1,Lupinus polyphyllus,5/6/24,5/14/24,6/26/24,7/25/25,43,437,0.09842,M,NA,12.99,10.63,NA,early eclose
56,FE1L5,2024,FE1,Lupinus polyphyllus,5/6/24,5/14/24,7/3/24,NA,50,NA,0.09292,NA,NA,NA,NA,Unknown,
57,FE1L7,2024,FE1,Lupinus polyphyllus,5/6/24,5/14/24,6/23/24,5/15/25,40,366,0.10535,M,NA,NA,NA,NA,escapee
58,FE1L8,2024,FE1,Lupinus polyphyllus,5/6/24,5/14/24,7/13/24,NA,60,NA,0.06603,NA,NA,NA,NA,Unknown,
59,FE1L10,2024,FE1,Lupinus polyphyllus,5/7/24,5/15/24,6/24/24,7/23/25,40,434,0.09548,M,NA,12.96,9.82,NA,early eclose
